"scenario","variable","model","year","value","units"
"ssp119","CH4_concentration","hector 3.5.0",1824,787.472579635079,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1825,788.711592524705,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1826,789.828599950339,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1827,790.867669541659,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1828,791.980641086655,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1829,792.997690077034,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1830,793.957665301428,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1831,794.807730856403,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1832,795.576656841328,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1833,796.12180488988,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1834,797.04174354696,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1835,797.828691212105,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1836,798.103751771348,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1837,798.113736212616,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1838,797.934785744178,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1839,797.919882242937,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1840,798.384846914718,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1841,799.057895232408,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1842,799.998943650774,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1843,801.490020330371,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1844,803.616925453302,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1845,805.66293302351,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1846,807.253825093439,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1847,807.934808541399,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1848,808.089880357218,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1849,808.212843205091,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1850,808.246791646951,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1851,808.411595631958,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1852,809.1600904924,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1853,810.400145960172,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1854,811.727043249394,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1855,813.326602040151,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1856,814.790704626961,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1857,816.446341584242,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1858,818.348746646442,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1859,820.389750472836,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1860,822.305535105562,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1861,824.39180664752,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1862,827.02046943857,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1863,830.156248897669,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1864,833.594485999277,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1865,836.884835613913,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1866,840.353066586225,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1867,843.985875173197,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1868,847.239117735093,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1869,850.118613111773,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1870,852.421464830433,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1871,853.976862650814,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1872,855.213725230166,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1873,856.145458670739,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1874,857.793561038897,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1875,859.441451669268,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1876,860.830202334912,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1877,862.348700576126,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1878,864.107078499494,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1879,866.248853904229,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1880,868.659044998471,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1881,870.944063299628,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1882,873.207525414797,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1883,875.558266207518,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1884,878.100650618948,"ppbv CH4"
